Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.8934977578475337,0.8934977578475337,0.9933807305712185,0.9933807305712185,0.9281501340482574,0.9270777479892761
2,0.8526547282437952,0.8526547282437952,0.994275246164415,0.994275246164415,0.8958384634326522,0.8973159320364441
3,0.7107153116920425,0.7101407641482335,0.9785495403472931,0.9785495403472931,0.9069892473118281,0.8989247311827956
4,0.8320203303684879,0.8320203303684879,0.9689130928068981,0.9684592693442252,0.8903195040534096,0.8865045302813542
5,0.7599768652400232,0.7605552342394448,0.9903948772678762,0.9903948772678762,0.8429307640600493,0.8514452162222721
6,0.6989214175654853,0.6976887519260401,0.9871716554673183,0.9822846670739157,0.8232530827950676,0.8209042865531415
7,0.7866279069767442,0.7889534883720931,0.9836065573770492,0.9836065573770492,0.8154550076258262,0.8230808337569904
8,0.9146404552509054,0.9151577858251423,0.9941520467836257,0.9941520467836257,0.9741935483870968,0.9741935483870968
9,0.9022598870056497,0.9022598870056497,0.9969317913618125,0.9969317913618125,0.9190855381453892,0.9154893398407399
10,0.899043062200957,0.899043062200957,0.9973753280839895,0.9973753280839895,0.9660697455230914,0.9660697455230914
Mean,0.8250357722391624,0.8251971790177377,0.9884750866231495,0.9879410054375419,0.8962285035382669,0.8961005911773203
