Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.8528624933119315,0.8528624933119315,0.9868485143692158,0.9868485143692158,0.9015625,0.9005208333333333
2,0.8053412462908012,0.8053412462908012,0.9940476190476191,0.9940476190476191,0.8564030131826742,0.8578154425612052
3,0.5884871550903901,0.588011417697431,0.9647532729103726,0.9647532729103726,0.8413965087281795,0.8339152119700748
4,0.7915860735009671,0.7915860735009671,0.9446902654867256,0.9442477876106194,0.8421290031574199,0.8385205232295896
5,0.682952182952183,0.6834719334719335,0.9884959522795057,0.9884959522795057,0.8206806282722513,0.8289703315881326
6,0.601272534464475,0.6002120890774125,0.9786031489705289,0.9737585789261203,0.7486650053399786,0.7465290138839444
7,0.76875,0.7710227272727272,0.9763313609467456,0.9763313609467456,0.7463936714751047,0.7533736621684505
8,0.8611787627861666,0.861665854846566,0.9883720930232558,0.9883720930232558,0.949685534591195,0.949685534591195
9,0.9125714285714286,0.9125714285714286,1.0,1.0,0.9122896481387047,0.9087200407955125
10,0.8867390278433224,0.8867390278433224,0.9947643979057592,0.9947643979057592,0.9561567164179104,0.9561567164179104
Mean,0.7751740904811666,0.7753484291884523,0.981690662493973,0.9811619577019213,0.8575362229303419,0.8574207310539348
