Fold,P_on_m,P_on_sd,P_off_m,P_off_sd,QRS_on_m,QRS_on_sd,QRS_off_m,QRS_off_sd,T_on_m,T_on_sd,T_off_m,T_off_sd
1,-5.675433353257621,10.385825330174464,-0.09737156511350059,10.047947430774943,-0.9496544916090819,4.818157535059189,-0.11966236345580933,6.217913120987022,-4.579911209766926,18.676684153181743,1.565869927737632,14.970082159899182
2,-3.219380888290713,9.917848350425128,1.031628532974428,8.719940231674599,-0.09372114496768236,5.536747656437595,0.3208679593721145,7.096095344982114,5.361362426822778,19.965825444753353,2.6648850881881345,17.412081710632766
3,0.17757712565838976,13.950738113230651,1.1870342771982116,11.154117963259953,0.3086548488008342,5.672743510978645,1.389468196037539,7.296279683138363,3.5630896226415096,18.69345639929505,7.783382789317508,18.9399478082201
4,-7.71366828741221,12.661751815804086,-0.40614886731391586,11.477833096476346,-0.04471355379599441,5.00682847640086,0.5710293432696786,6.92160903595067,0.2671957671957672,16.183080624080347,8.808,15.411768317317344
5,-9.129467296021577,7.521026595575763,2.892110586648685,7.7654740866783145,-1.1913606911447083,8.08310579099601,0.2920086393088553,7.137059977542259,-4.864980916030534,17.84617784681341,6.5872259294566256,15.720911638724338
6,-9.428141459744168,11.622653327047423,2.595648912228057,12.699098702259567,-1.8029801324503312,8.151865125607474,0.6939958592132505,8.146862697860339,-2.9706546275395036,22.99155888435224,-4.642857142857143,17.94923992698717
7,-6.844389336639802,12.78230967478611,-0.1841779975278121,10.729599176574515,-1.4161616161616162,4.7806999840521875,0.7934343434343434,5.825514874997791,4.630471859010801,19.78100407114711,12.82034503271862,17.67132915214638
8,4.0255839822024475,8.080202227698255,4.617908787541713,9.192433634041812,0.44166666666666665,4.542234179329516,0.7382352941176471,5.648712227312489,-3.161111111111111,11.760840809364348,-2.1994444444444445,9.334148757368899
9,-3.3919226393629125,8.817030439368992,1.3014789533560864,7.405000007863014,-1.2760416666666667,4.062489376928613,1.2831439393939394,5.805997092391385,-2.6133402813965607,12.343931351621604,3.253256904637832,10.735847650539018
10,1.0118312757201646,8.105107109439254,3.340534979423868,7.735219738647057,0.7267543859649123,3.9205244895303326,-0.02675438596491228,5.854199571579728,-0.09985666507405638,11.991439253236889,1.8241758241758241,9.56081189449111
Mean,-4.0187410877148,10.384449298355014,1.6278646599415822,9.692666406825012,-0.5297557395363668,5.457539612532042,0.5935766824726647,6.595024362674216,-0.4467735135247836,17.02339988378461,3.8464839908930584,14.77061690163263
