Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.9006729475100942,0.9012113055181696,0.9936243256498283,0.9877390877881315,0.9387861422245376,0.9372232352175046
2,0.8871641791044776,0.8871641791044776,0.9789830508474575,0.9789830508474575,0.9079487798985263,0.9040831118627688
3,0.8183497536945814,0.8263546798029557,0.9561316051844467,0.9561316051844467,0.9030883919062833,0.897231096911608
4,0.9202087994034303,0.9217002237136465,0.9882623705408515,0.9882623705408515,0.9310344827586207,0.9236453201970443
5,0.803358613217768,0.803358613217768,0.9920719948575103,0.9920719948575103,0.9386475593372144,0.9395432154052844
6,0.7559726962457337,0.7582480091012516,0.9930127414714345,0.9926017262638719,0.9443615433809422,0.9251758686847155
7,0.8961111111111111,0.898888888888889,0.9836065573770492,0.9836065573770492,0.9289675204647477,0.8877739635595459
8,0.9306418219461697,0.9306418219461697,0.9912536443148687,0.9912536443148687,0.9316770186335405,0.9316770186335405
9,0.9187353018029788,0.9187353018029788,0.9969317913618125,0.9969317913618125,0.9490603363006924,0.9490603363006924
10,0.9261553120533588,0.9261553120533588,0.9973753280839895,0.9973753280839895,0.9550536162445814,0.9550536162445814
Mean,0.8757370536089704,0.8772458335149664,0.9871253409689249,0.986495715661999,0.9328625391149687,0.9250466783017286
