Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.8298611111111112,0.8303571428571429,0.9873294346978557,0.9814814814814815,0.8881222276983736,0.8866436668309512
2,0.8023758099352052,0.8023758099352052,0.9661016949152542,0.9661016949152542,0.8533151680290645,0.8496821071752951
3,0.7110754414125201,0.7180310326377742,0.9212295869356388,0.9212295869356388,0.8309652131308183,0.8255756981871631
4,0.858534322820037,0.859925788497217,0.9767970882620565,0.9767970882620565,0.9073451752280365,0.900144023043687
5,0.6872103799814643,0.6872103799814643,0.9939888364104766,0.9939888364104766,0.9132897603485839,0.914161220043573
6,0.6161335187760779,0.6179879462216041,0.993421052631579,0.9930098684210527,0.9263906315349226,0.9075700543705563
7,0.8401041666666667,0.8427083333333333,0.9763313609467456,0.9763313609467456,0.8786213786213786,0.8396603396603397
8,0.8766455387615797,0.8766455387615797,0.9826589595375722,0.9826589595375722,0.8771929824561403,0.8771929824561403
9,0.8630338733431517,0.8630338733431517,1.0,1.0,0.9086174242424242,0.9086174242424242
10,0.9096864763687412,0.9096864763687412,0.9947643979057592,0.9947643979057592,0.9167761717038984,0.9167761717038984
Mean,0.7994660639176556,0.8007962321937214,0.9792622412242938,0.9786363274816038,0.890063613299364,0.8826023687714027
