Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.9846968805179518,0.985285462036492,1.0,0.9940769990128332,0.9955801104972376,0.9939226519337017
2,0.9919893190921228,0.9919893190921228,0.9922125515345854,0.9922125515345854,0.9700567888487351,0.9659266907589055
3,0.9637418419144308,0.9731689630166788,0.9937823834196892,0.9937823834196892,0.9889212827988338,0.9825072886297376
4,0.9914301017675415,0.9930369576861274,1.0,1.0,0.9559939301972686,0.9484066767830045
5,0.9667535853976532,0.9667535853976532,0.9901625320786998,0.9901625320786998,0.965453707968678,0.9663749424228466
6,0.977924944812362,0.9808682855040471,0.9926047658175843,0.9921939194741167,0.9630434782608696,0.9434782608695652
7,0.9601190476190476,0.9630952380952381,0.990990990990991,0.990990990990991,0.9854341736694678,0.9417366946778711
8,0.9917264202978489,0.9917264202978489,1.0,1.0,0.9933774834437086,0.9933774834437086
9,0.982122905027933,0.982122905027933,0.9938823529411764,0.9938823529411764,0.9932712215320911,0.9932712215320911
10,0.9432314410480349,0.9432314410480349,1.0,1.0,0.9966666666666667,0.9966666666666667
Mean,0.9753736487494926,0.9771278577202175,0.9953635576782727,0.9947301729452092,0.9807798843883557,0.9725668577718098
