Fold,P_on_m,P_on_sd,P_off_m,P_off_sd,QRS_on_m,QRS_on_sd,QRS_off_m,QRS_off_sd,T_on_m,T_on_sd,T_off_m,T_off_sd
1,-2.6753400354819634,9.61065720550015,2.634535777646363,14.569114693868334,0.1373517786561265,4.334564192841586,1.1862648221343874,10.216257923985422,1.7502762430939227,12.52562290688402,2.219889502762431,13.222793061277997
2,-4.484625668449198,11.573632165007316,2.6602136181575435,15.33045105208504,-1.5759113982464237,5.392968407910956,2.4462390401476695,10.180772317836311,1.8391828182294394,19.03006401374706,6.162262156448203,18.17548917421404
3,0.010948905109489052,10.916298527987124,4.200437317784257,13.604414256861999,-0.8495248152059134,5.134418847539741,2.6458443620963474,9.815181191945799,3.0326603325415675,14.161337158608308,5.012507444907683,17.071072700184814
4,0.13211600429645542,8.333589309231803,3.757787325456498,14.121038879463793,0.16573033707865167,4.480676962205763,3.0079737335834897,12.317806640574537,6.539366053169734,14.655832971513728,4.169222903885481,15.843253601208156
5,-0.8084265964450297,6.389139286010322,2.6798418972332017,11.446858460641275,-0.0454742312689476,6.0545458121686275,1.725855348635773,9.462228401450444,1.4369474174034436,14.136519547314814,6.395424836601308,18.198332527981027
6,-0.7336956521739131,8.846239051052496,6.2708978328173375,16.588658182880472,-0.680780406807804,6.635737306635286,1.9775840597758405,8.556427347775085,1.8867757629367536,15.511919410049225,6.3754432624113475,18.520582277256427
7,-4.8501275510204085,11.386467643298953,5.425491439441979,15.125044117999234,-1.5126135216952574,4.295539226476062,2.726034308779011,8.435014136692919,0.4808461978273299,15.257698866423857,12.663976945244956,21.18050730410891
8,0.22749861954721148,5.575458499158628,1.3589177250138045,10.734348164834085,-0.3607843137254902,2.7210564868190117,0.1553921568627451,4.461806363199056,-1.3079470198675496,9.040812710192002,1.6004415011037527,11.815840371733469
9,0.32120872971460546,6.946176726711973,3.3268047006155568,12.35161838818741,-0.03787878787878788,3.281099000635959,1.599905303030303,5.414142184787272,0.19627136198860695,9.754060439445059,9.057512953367876,18.918869819980692
10,0.2475633528265107,6.821885926268165,5.010721247563353,15.135414818927512,-0.47982456140350876,3.0356848363032762,0.09780701754385965,5.195611721033456,2.4119047619047618,10.35798983947847,4.049047619047619,18.00364973706374
Mean,-1.261287989207624,8.639954434022693,3.732564888172989,13.900696101574914,-0.5239709920497354,4.536629107953627,1.7568900152589428,8.40552482292803,1.8266283929228009,13.443185786365655,5.770572912578066,17.09503905750093
