Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.8566362715298884,0.8566362715298884,0.9491207502930833,0.9491207502930833,0.8746073930901184,0.8746073930901184
2,0.7842726081258191,0.7853211009174311,0.9654711517041656,0.9654711517041656,0.82337718352383,0.8160448565883115
3,0.7735742518351214,0.7747035573122529,0.9288867091711623,0.9264345267287887,0.8192653855509608,0.8168328873753344
4,0.8592524227041994,0.8592524227041994,0.9561324977618622,0.954341987466428,0.8425586905018307,0.8425586905018307
5,0.7273162556858991,0.7268374431410103,0.9644945697577276,0.9644945697577276,0.7937211449676824,0.7911357340720221
6,0.6304454233969652,0.6324033284385706,0.9607178464606182,0.9607178464606182,0.8169828364950316,0.8151761517615176
7,0.8020460358056267,0.8066496163682865,0.9584139264990329,0.9584139264990329,0.7506437768240343,0.7446351931330473
8,0.8838457784285016,0.8838457784285016,0.9833694866232827,0.9833694866232827,0.8547169811320755,0.8547169811320755
9,0.8451170489477419,0.8451170489477419,0.9846153846153846,0.9846153846153846,0.7794147325933402,0.7790110998990919
10,0.8558915537017727,0.8558915537017727,0.9785407725321889,0.9785407725321889,0.822239624119029,0.822239624119029
Mean,0.8018397650161535,0.8026658121489655,0.9629763095418508,0.96255204026807,0.8177527748797931,0.8156958611672378
