Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.7518897287683415,0.7518897287683415,0.903974988834301,0.903974988834301,0.777157578359811,0.777157578359811
2,0.6456624946050928,0.6465256797583081,0.9397224631396357,0.9397224631396357,0.707037037037037,0.7007407407407408
3,0.6333795654184003,0.6343042071197411,0.8817504655493482,0.8794227188081937,0.7028380634390651,0.7007512520868113
4,0.7547628698824483,0.7547628698824483,0.9202929771650151,0.918569582076691,0.7336834208552138,0.7336834208552138
5,0.5747256905032161,0.5743473325766175,0.9424489795918367,0.9424489795918367,0.6624537607891492,0.6602959309494452
6,0.47231389805647234,0.47378071140447375,0.9333591631150717,0.9333591631150717,0.6989180834621329,0.6973724884080371
7,0.7031390134529149,0.7071748878923767,0.9270346117867165,0.9270346117867165,0.6083478260869565,0.6034782608695652
8,0.7925601750547046,0.7925601750547046,0.9672830725462305,0.9672830725462305,0.7462932454695222,0.7462932454695222
9,0.7326773267732677,0.7326773267732677,0.9755196304849885,0.9755196304849885,0.6387694343367516,0.6384386371154482
10,0.7505486466715435,0.7505486466715435,0.957983193277311,0.957983193277311,0.6981382978723404,0.6981382978723404
Mean,0.6811659409186401,0.6818571565901823,0.9349369545490456,0.9345318403660977,0.697363674770798,0.6956349852726935
