Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.9952913478516775,0.9952913478516775,0.9990128331688055,0.9990128331688055,1.0,1.0
2,0.9986648865153538,1.0,0.9926706367384334,0.9926706367384334,0.9855446566855963,0.9767681982447083
3,0.9934735315445975,0.9949238578680203,0.9813471502590674,0.9787564766839378,0.9819241982507289,0.9790087463556851
4,0.9973219068023568,0.9973219068023568,0.9948765719608756,0.9930135072193759,0.9893778452200304,0.9893778452200304
5,0.9902216427640157,0.9895697522816167,0.9875962360992301,0.9875962360992301,0.9898664210041456,0.9866421004145555
6,0.9477557027225901,0.9506990434142752,0.9897288414133114,0.9897288414133114,0.9830434782608696,0.9808695652173913
7,0.9333333333333333,0.9386904761904762,0.991991991991992,0.991991991991992,0.9798319327731092,0.9719887955182073
8,0.9988968560397132,0.9988968560397132,1.0,1.0,1.0,1.0
9,0.9983240223463687,0.9983240223463687,0.9938823529411764,0.9938823529411764,0.9994824016563147,0.9989648033126294
10,0.9956331877729258,0.9956331877729258,1.0,1.0,1.0,1.0
Mean,0.9848916417692932,0.985935045056743,0.9931106614572892,0.9926652876256263,0.9909070933850794,0.9883620054283208
