Fold,P_on_m,P_on_sd,P_off_m,P_off_sd,QRS_on_m,QRS_on_sd,QRS_off_m,QRS_off_sd,T_on_m,T_on_sd,T_off_m,T_off_sd
1,-3.750744786494538,24.104671551530423,-2.7370184254606365,30.545123056455328,6.253258845437617,24.779407541493498,17.723181257706536,34.32086132100243,24.21579305650102,29.049458934690865,-4.5474860335195535,19.67664429903419
2,-2.6458333333333335,20.76493285186814,-1.3436911487758945,32.703679491592254,10.811230585424134,26.383038576537384,19.621752265861026,34.35912361777477,27.147979139504564,29.683680132185714,3.3474452554744527,25.033679737715484
3,-1.531135531135531,23.6700961257685,6.54788877445932,34.47389679778444,7.085416666666666,26.721694444646577,24.211732973701956,33.85512663330154,20.35925925925926,33.07758286725607,2.5586319218241043,22.782193073876755
4,-4.384761904761905,23.846703998875345,-3.756,29.230293600988684,7.8084840923268874,24.709291740676303,22.254677127338564,33.39148491889621,25.324758842443728,32.01616349002953,-0.9166087560806115,19.733843913128542
5,-5.6663233779608655,25.934359999891548,-5.564356435643564,26.754831634023468,15.844,31.535489413856073,19.555299539170505,36.04575538300556,25.920681551116335,29.38958195721903,1.6626826029216468,23.852811199097484
6,-3.3205918618988903,24.26743328555141,0.3855042016806723,33.375655344933136,11.536768652710682,30.005235107257676,18.106474050294274,34.368613754080954,24.49832402234637,29.833686997631773,5.013257575757576,25.635246431236435
7,-9.158590308370044,26.629518147711376,2.2076707202993453,34.6531645317919,11.598722044728435,26.43018408855091,18.845245901639345,33.14023336614399,22.75035765379113,31.943864778871912,9.157852564102564,22.817487653648822
8,-2.358139534883721,24.560302935012828,-1.9580306698950767,32.31468327434035,7.254478072884496,19.4679882478903,19.771303258145362,32.20860816078369,20.72890365448505,29.50188228344871,1.6964017991004499,18.18969761971673
9,-12.405982905982906,29.677283581656063,-1.1305460750853242,33.81190475431355,5.11214953271028,21.912107608933706,21.827110855829982,27.426984791524415,24.832270408163264,27.042069538910805,1.8028169014084507,18.82840954912479
10,-11.217576791808874,29.01390625032772,-3.4850074962518742,31.76727593298397,12.343715846994536,25.867915890757008,18.777227722772277,33.90837957342959,25.931514799767847,24.327256134446742,-2.0808147174770038,15.927749563869646
Mean,-5.643968033663061,25.246920872819338,-1.0833586554673031,31.96305084192071,9.564822433988374,25.78123526605994,20.069400495245983,33.302517151994316,24.170984238737855,29.586522711469115,1.7694179113512079,21.247776304044887
