Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.35514018691588783,0.4210897548933169,0.43092149257723683,0.4338638491373546,0.40092794759825323,0.3419759825327511
2,0.3064373115800674,0.37666252881716616,0.42342228405210575,0.4186164158340711,0.3684842661542157,0.32908959884698535
3,0.28955276648400213,0.3432914972600318,0.38085162655382176,0.3922242792911928,0.3487921457176075,0.3172716703268311
4,0.3099630996309963,0.36900369003690037,0.3717963585759017,0.3843210019714716,0.36843975832247366,0.3409548631678711
5,0.3333905579399142,0.3814592274678112,0.40560899293081465,0.4023641209873682,0.3890285714285714,0.34422857142857144
6,0.2814994793474488,0.3304408191600139,0.416871783396733,0.4182143656298949,0.3918563922942207,0.3467600700525394
7,0.31186673535978016,0.36716469173965305,0.4324996545529916,0.42144535028326646,0.36644823066841414,0.327129750982962
8,0.3569649676241076,0.41142287896397145,0.42762810353935554,0.421553090332805,0.4078038206205121,0.36146863568622134
9,0.23756345177664973,0.2974619289340102,0.37564454196379593,0.3820076796489303,0.41187286577357507,0.37299711058576307
10,0.35764418675617937,0.40707964601769914,0.4578433825369027,0.4548411308481361,0.4089236976385428,0.36121988845377956
Mean,0.3140022743415033,0.37050766632905746,0.41230882206796593,0.41294512839644915,0.3862577696216386,0.3443096142064276
