Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.25352467270896273,0.30060422960725075,0.2955421023665383,0.2975600807191341,0.26621964479884014,0.22707502718376224
2,0.20864525476937937,0.2564597923206955,0.29245283018867924,0.2891334730957372,0.24010017217091878,0.21443105337298482
3,0.19144460028050492,0.22697522206638615,0.2556818181818182,0.26331676136363635,0.22402920677066046,0.2037836043810156
4,0.2139364303178484,0.25468622656886714,0.24752933909820876,0.25586781964175415,0.2405631188118812,0.22261757425742573
5,0.22628757865299465,0.2589140060591937,0.27817517087903354,0.2759497695120013,0.2587019303845569,0.22891016871865025
6,0.18419259595730184,0.21621621621621623,0.2864391143911439,0.2873616236162362,0.2618490345231129,0.23171445289643067
7,0.2191648563842626,0.258025585324644,0.2987211299866387,0.2910860851307501,0.23917878528656972,0.2135158254918734
8,0.25534441805225655,0.29429928741092637,0.29266088214027475,0.2885032537960954,0.27024600466870174,0.2395403124438858
9,0.15369458128078817,0.19244663382594418,0.24492131616595136,0.24907010014306152,0.2759591693065822,0.2499120028159099
10,0.2608502114400178,0.2969062986868462,0.320266013300665,0.31816590829541475,0.27232495653548283,0.24055634581950372
Mean,0.21670851998443172,0.255553349808697,0.2812389716698952,0.2816014875313821,0.2549172023257308,0.22720563673814423
