Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.5927015891701001,0.7027663331371395,0.7951628825271471,0.8005923000987167,0.8116022099447514,0.6922651933701658
2,0.5767690253671562,0.7089452603471295,0.7668346312414109,0.7581310123683005,0.7919463087248322,0.7072792978833248
3,0.5939086294416244,0.7041334300217549,0.7461139896373057,0.7683937823834197,0.7871720116618076,0.7160349854227406
4,0.5623995715050883,0.6695232994108195,0.7466231951560317,0.7717745691662785,0.7865452706120385,0.7278705108750633
5,0.6329856584093873,0.7242503259452412,0.7485029940119761,0.7425149700598802,0.7839705204974666,0.6936895439889452
6,0.5967623252391464,0.7005150846210448,0.7654067378800329,0.7678718159408381,0.7782608695652173,0.688695652173913
7,0.5404761904761904,0.6363095238095238,0.7832832832832833,0.7632632632632632,0.7831932773109244,0.6991596638655462
8,0.5929398786541644,0.6833976833976834,0.7936274509803921,0.7823529411764706,0.8305739514348786,0.7362030905077263
9,0.5229050279329609,0.6547486033519553,0.8056470588235294,0.8192941176470588,0.8115942028985508,0.7349896480331263
10,0.5686559922367783,0.6472586123241145,0.8026315789473685,0.7973684210526316,0.8204761904761905,0.7247619047619047
Mean,0.5780503888432597,0.6831848156366407,0.7753833802488478,0.7771557193156858,0.7985334813126659,0.7120949490882456
