Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.8945551128818062,0.8945551128818062,0.9865755430803027,0.9865755430803027,0.9010715175679044,0.9010715175679044
2,0.8053289831430125,0.8053289831430125,0.9814479638009049,0.9814479638009049,0.8774406022112444,0.8760291696071513
3,0.8144635447540012,0.8144635447540012,0.9592350276799194,0.9562154001006542,0.8732973528655872,0.8732973528655872
4,0.9073123012961605,0.9073123012961605,0.9736299013987617,0.9736299013987617,0.893296853625171,0.8905608755129958
5,0.7973753280839896,0.7973753280839896,0.9673425827107791,0.9673425827107791,0.8543219826717712,0.851501108200685
6,0.7193229901269395,0.7210155148095909,0.9510880415252545,0.9510880415252545,0.8741216623168039,0.8737201365187713
7,0.8721052631578947,0.8736842105263158,0.9710642471799902,0.9710642471799902,0.8785094435936703,0.8703420112302195
8,0.9266172334441319,0.9266172334441319,0.9917355371900827,0.9917355371900827,0.9256325070278558,0.9256325070278558
9,0.9017924766473113,0.9017924766473113,0.9878391019644528,0.9878391019644528,0.9146399618502623,0.9155937052932762
10,0.9357714285714285,0.9357714285714285,0.993025283347864,0.993025283347864,0.9387755102040816,0.9387755102040816
Mean,0.8574644662106676,0.8577916134157748,0.9762983229878313,0.9759963602299047,0.8931107393934352,0.891652389402853
