Fold,P_on_m,P_on_sd,P_off_m,P_off_sd,QRS_on_m,QRS_on_sd,QRS_off_m,QRS_off_sd,T_on_m,T_on_sd,T_off_m,T_off_sd
1,-1.9875296912114013,9.596946828777973,0.4489311163895487,9.124000875116506,-1.3161801088570015,4.6721807636047545,0.694210786739238,6.504252872246595,-2.3213495575221237,13.672899199327757,0.3855088495575221,12.765982095245016
2,-1.8474004051316677,8.63278585127987,-0.6394328156650911,8.060853006819173,-2.267865375749193,5.124605494455946,2.185799907791609,8.541011701425727,-2.8214477211796245,15.328075173377947,-0.23630504833512353,15.33170696088478
3,0.9985443959243085,11.989927756440071,1.566957787481805,10.663960032903864,-2.0965372507869886,7.136954254172923,2.1668421052631577,9.291028809743855,-0.033549146556798116,13.021761287884145,0.3719835197174809,13.689633529269816
4,-1.7018867924528303,8.630483909069309,-0.5504043126684636,9.797547335879292,-1.5096561469618464,6.460304969293079,1.9674988224211023,9.444354655833603,-0.0709545686574783,14.215635643215604,0.604710701484895,12.203531605501134
5,-1.0915075707702435,6.969428230036472,-0.3054641211323239,7.188621350729017,-2.2859664607237424,7.390288877778841,0.8976169461606355,8.476337635145903,-3.207075471698113,16.21457086784187,0.6564126833885471,14.480506596004295
6,-2.363921568627451,10.726369939186318,1.84585289514867,9.82868247698776,-2.5327455919395465,7.924309912659123,2.3669185558354324,10.415855985559837,-2.9917317409278823,17.734165349896827,0.6125919117647058,14.090118548417681
7,-2.2148461074230537,11.271797491967018,0.7289156626506024,10.411185251559248,-1.7045454545454546,4.437111575881631,1.7575757575757576,6.469182436427029,-1.8216153399186519,15.19851662364402,3.912609970674487,14.667137222458328
8,1.0165562913907285,6.468701318668418,-0.3554083885209713,6.40799708171151,-0.8950980392156863,3.197391015205022,0.27990196078431373,4.106139352548227,-2.7879624516841526,8.737429325672347,-0.315847598012148,6.525460274282634
9,0.1270996640537514,7.10338579807813,1.6041433370660694,6.100829223249688,-0.9460227272727273,3.584203994223926,0.9393939393939394,4.980655877093285,-0.8023983315954119,10.517181656393213,0.7369791666666666,10.194570002762875
10,0.898876404494382,7.808531510197053,0.20908646800195407,8.840068187806498,0.6400351185250219,3.2086382527281394,-0.37093942054433715,4.389585617327963,2.31820353559484,11.078318171736855,0.6024844720496895,10.549301068067166
Mean,-0.8166015379753476,8.919835863370064,0.45531776287518,8.642374482276256,-1.4914582037527162,5.313598911000338,1.288481936142085,7.261840494335203,-1.4539880794145397,13.57185532989906,0.7331128628956722,12.449794790289372
