Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.8151016456921588,0.8151016456921588,0.975857073877354,0.975857073877354,0.8206990467544257,0.8206990467544257
2,0.6793577981651376,0.6793577981651376,0.9696021457308895,0.9696021457308895,0.8059636992221262,0.8046672428694901
3,0.6887218045112782,0.6887218045112782,0.9324853228962818,0.9295499021526419,0.7807904411764706,0.7807904411764706
4,0.8348334833483348,0.8348334833483348,0.9588979223125564,0.9588979223125564,0.813200498132005,0.8107098381070984
5,0.6673989455184535,0.6673989455184535,0.9654878568385172,0.9654878568385172,0.7593123209169055,0.7568051575931232
6,0.5832570905763952,0.5846294602012809,0.9250485436893204,0.9250485436893204,0.8120104438642297,0.8116374487131667
7,0.7816037735849056,0.7830188679245284,0.9519230769230769,0.9519230769230769,0.8068448195030473,0.7993436474449133
8,0.8636796949475691,0.8636796949475691,0.9836065573770492,0.9836065573770492,0.8619704902427415,0.8619704902427415
9,0.8226623675725472,0.8226623675725472,0.9818688981868898,0.9818688981868898,0.847922192749779,0.8488063660477454
10,0.8846153846153846,0.8846153846153846,0.987001733102253,0.987001733102253,0.887240356083086,0.887240356083086
Mean,0.7621231988532164,0.7624019452496672,0.9631779130934189,0.962884371019055,0.8195954308644817,0.8182670035032261
