Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.9911712772218952,0.9911712772218952,0.9975320829220138,0.9975320829220138,0.9988950276243094,0.9988950276243094
2,0.9886515353805073,0.9886515353805073,0.9935868071461291,0.9935868071461291,0.9628291171915333,0.9612803304078472
3,0.9963741841914431,0.9963741841914431,0.9875647668393782,0.9844559585492227,0.99067055393586,0.99067055393586
4,0.9935725763256561,0.9935725763256561,0.9888216115510013,0.9888216115510013,0.9908952959028832,0.9878603945371776
5,0.9902216427640157,0.9902216427640157,0.9692044482463644,0.9692044482463644,0.976508521418701,0.973284200829111
6,0.9381898454746137,0.9403973509933775,0.9786359901396877,0.9786359901396877,0.9465217391304348,0.9460869565217391
7,0.9863095238095239,0.9880952380952381,0.990990990990991,0.990990990990991,0.9641456582633053,0.9551820728291317
8,0.9994484280198566,0.9994484280198566,1.0,1.0,0.9994481236203091,0.9994481236203091
9,0.9977653631284916,0.9977653631284916,0.9938823529411764,0.9938823529411764,0.9927536231884058,0.9937888198757764
10,0.9932071809801067,0.9932071809801067,0.9991228070175439,0.9991228070175439,0.9966666666666667,0.9966666666666667
Mean,0.9874911557296111,0.9878904777100589,0.9899341857794287,0.9896233049504131,0.9819334326942408,0.9803163146847927
